"filename", "language", "Dart", "comment", "blank", "total"
"/Users/cristibarbuta/work/olimpicos/lib/controllers/api_client.dart", "Dart", 65, 0, 16, 81
"/Users/cristibarbuta/work/olimpicos/lib/firebase_options.dart", "Dart", 64, 12, 6, 82
"/Users/cristibarbuta/work/olimpicos/lib/main.dart", "Dart", 67, 6, 7, 80
"/Users/cristibarbuta/work/olimpicos/lib/screens/add_training_session.dart", "Dart", 248, 5, 8, 261
"/Users/cristibarbuta/work/olimpicos/lib/screens/dashboard.dart", "Dart", 123, 1, 15, 139
"/Users/cristibarbuta/work/olimpicos/lib/screens/home_screen.dart", "Dart", 114, 7, 19, 140
"/Users/cristibarbuta/work/olimpicos/lib/screens/login_screen.dart", "Dart", 152, 8, 8, 168
"/Users/cristibarbuta/work/olimpicos/lib/screens/profile_screen.dart", "Dart", 25, 0, 4, 29
"/Users/cristibarbuta/work/olimpicos/lib/screens/register_screen.dart", "Dart", 302, 10, 14, 326
"/Users/cristibarbuta/work/olimpicos/lib/screens/search_screen.dart", "Dart", 82, 0, 6, 88
"/Users/cristibarbuta/work/olimpicos/lib/utils/constants.dart", "Dart", 112, 2, 7, 121
"/Users/cristibarbuta/work/olimpicos/lib/utils/http_client.dart", "Dart", 48, 5, 7, 60
"/Users/cristibarbuta/work/olimpicos/lib/widgets/input_field.dart", "Dart", 122, 3, 7, 132
"/Users/cristibarbuta/work/olimpicos/lib/widgets/input_widgets.dart", "Dart", 212, 0, 14, 226
"/Users/cristibarbuta/work/olimpicos/lib/widgets/lottie_widget.dart", "Dart", 22, 0, 4, 26
"/Users/cristibarbuta/work/olimpicos/lib/widgets/menu_bar_widget.dart", "Dart", 97, 15, 10, 122
"/Users/cristibarbuta/work/olimpicos/lib/widgets/new_user_card.dart", "Dart", 102, 1, 3, 106
"/Users/cristibarbuta/work/olimpicos/lib/widgets/search_bar.dart", "Dart", 75, 6, 11, 92
"/Users/cristibarbuta/work/olimpicos/lib/widgets/select_role_widget.dart", "Dart", 108, 3, 13, 124
"/Users/cristibarbuta/work/olimpicos/lib/widgets/vertical_bar.dart", "Dart", 36, 1, 5, 42
"Total", "-", 2176, 85, 184, 2445
